Reference,Value,Footprint,Datasheet,Part Number,Order Code
C3,100n,Capacitors_SMD:C_0805_HandSoldering,,MCCA000274,175-9143
C4,100n,Capacitors_SMD:C_0805_HandSoldering,,MCCA000274,175-9143
C6,100n,Capacitors_SMD:C_0805_HandSoldering,,MCCA000274,175-9143
C12,100n,Capacitors_SMD:C_0805_HandSoldering,,MCCA000274,175-9143
C7,100n,Capacitors_SMD:C_0805_HandSoldering,,MCCA000274,175-9143
C13,100n,Capacitors_SMD:C_0805_HandSoldering,,MCCA000274,175-9143
R1,10k,Resistors_SMD:R_0805_HandSoldering,,MCMR08X1002FTL,207-3607
C5,10u,Capacitors_SMD:C_0805_HandSoldering,,GRM219R61C106KA73D,184-5747
C8,10u,Capacitors_SMD:C_0805_HandSoldering,,GRM219R61C106KA73D,184-5747
C14,10u,Capacitors_SMD:C_0805_HandSoldering,,GRM219R61C106KA73D,184-5747
C9,10u,Capacitors_SMD:C_0805_HandSoldering,,GRM219R61C106KA73D,184-5747
C15,10u,Capacitors_SMD:C_0805_HandSoldering,,GRM219R61C106KA73D,184-5747
C2,18p,Capacitors_SMD:C_0805_HandSoldering,,MC0805N180J500CT,175-9194
C1,18p,Capacitors_SMD:C_0805_HandSoldering,,MC0805N180J500CT,175-9194
R5,22k,Resistors_SMD:R_0805_HandSoldering,,MCMR08X2202FTL,207-3691
R6,22k,Resistors_SMD:R_0805_HandSoldering,,MCMR08X2202FTL,207-3691
R3,33k,Resistors_SMD:R_0805_HandSoldering,,MC01W0805133K,933-3053
R4,33k,Resistors_SMD:R_0805_HandSoldering,,MC01W0805133K,933-3053
C10,470n,Capacitors_SMD:C_0805_HandSoldering,,MC0805B474K250CT,232-0831
C11,470n,Capacitors_SMD:C_0805_HandSoldering,,MC0805B474K250CT,232-0831
R2,470R,Resistors_SMD:R_0805_HandSoldering,,WCR0805-470RFI,109-9798
L1,6mH,jakub:6mH_coil,,74458306,196-1682
L3,6mH,jakub:6mH_coil,,74458306,196-1682
L2,6mH,jakub:6mH_coil,,74458306,196-1682
L4,6mH,jakub:6mH_coil,,74458306,196-1682
X1,8.000MHz,Crystals_Oscillators_SMD:Q_49U3HMS,,9C-8.000MAAJ-T,184-2346
U1,ATMEGA328P,Housings_QFP:TQFP-32_7x7mm_Pitch0.8mm,,ATMEGA328P-AU,171-5486
P1,CONN_1,Connect:1pin,,,
P2,CONN_1,Connect:1pin,,,
JP2,CONN_3X2,Pin_Headers:Pin_Header_Straight_2x03,,M20-9980346,102-2231
U2,DAC101S101,Housings_SSOP:MSOP-8_3x3mm_Pitch0.65mm,,DAC101S101CIMM,110-1197
U3,DAC101S101,Housings_SSOP:MSOP-8_3x3mm_Pitch0.65mm,,DAC101S101CIMM,110-1197
JP1,DF13,jakub:DF13-4P-1.25H,,DF13-4P-1.25H,132-4926
D1,LED 1206 yel,LEDs:LED-1206,,LYN971-Z,122-6417
U4,TPA301,Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm,,TPA301D,845-6518
U5,TPA301,Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm,,TPA301D,845-6518
